rail,element_code,path,reference,parent
1,rar,REPLACE_A1A2371A145D46AA97BA586C90C4A444\E53214734200.1\PartBody,E53214734200,
1,rav,REPLACE_E1819591053E4490B57BFF413D41AB65\E53233044200.1\PartBody,E53233044200,
1,eg,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041200.2\Solid,E53225041200,
1,ed,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041201.2\Solid,E53225041201,
1,eq,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214090200.2\PartBody,E53214090200,E53214773000
1,tr,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214476200.1\PartBody,E53214476200,E53214773000
2,rar,REPLACE_A1A2371A145D46AA97BA586C90C4A444\E53215518200.1\PartBody,E53215518200,
2,rav,REPLACE_E1819591053E4490B57BFF413D41AB65\E53233046200.1\PartBody,E53233046200,
2,eg,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041200.1\Solid,E53225041200,
2,ed,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041201.1\Solid,E53225041201,
2,eq,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53215521200.1\PartBody,E53215521200,E53214773000
2,tr,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214476200.1\PartBody,E53214476200,E53214773000
3,rar,REPLACE_A1A2371A145D46AA97BA586C90C4A444\E53215529200.1\PartBody,E53215529200,
3,rav,REPLACE_E1819591053E4490B57BFF413D41AB65\E53233024200.1\PartBody,E53233024200,
3,eg,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225034200.1\Solid,E53225034200,
3,ed,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225034201.1\Solid,E53225034201,
3,eq,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53215522200.1\PartBody,E53215522200,E53214773000
3,tr,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214476200.1\PartBody,E53214476200,E53214773000
4,rar,REPLACE_A1A2371A145D46AA97BA586C90C4A444\E53215529201.1\PartBody,E53215529201,
4,rav,REPLACE_E1819591053E4490B57BFF413D41AB65\E53233025200.2\PartBody,E53233025200,
4,eg,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225034200.2\Solid,E53225034200,
4,ed,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225034201.2\Solid,E53225034201,
4,eq,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53215522200.2\PartBody,E53215522200,E53214773000
4,tr,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214476200.1\PartBody,E53214476200,E53214773000
5,rar,REPLACE_A1A2371A145D46AA97BA586C90C4A444\E53215518202.1\PartBody,E53215518202,
5,rav,REPLACE_E1819591053E4490B57BFF413D41AB65\E53233045200.1\PartBody,E53233045200,
5,eg,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041200.3\Solid,E53225041200,
5,ed,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041201.3\Solid,E53225041201,
5,eq,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53215521201.1\PartBody,E53215521201,E53214773000
5,tr,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214476200.1\PartBody,E53214476200,E53214773000
6,rar,REPLACE_A1A2371A145D46AA97BA586C90C4A444\E53214735200.1\PartBody,E53214735200,
6,rav,REPLACE_E1819591053E4490B57BFF413D41AB65\E53233043200.1\PartBody,E53233043200,
6,eg,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041200.4\Solid,E53225041200,
6,ed,REPLACE_2A6C27350E3E476CA75538AFF81952DB\E53225041201.4\Solid,E53225041201,
6,eq,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214090200.1\PartBody,E53214090200,E53214773000
6,tr,REPLACE_A9447BE4E2BB4C12BA20BFDFB2A0820B\E53214773000.1\E53214476200.1\PartBody,E53214476200,E53214773000